"","digit.ratio","tomboy","age"
"1",0.062974799,"Not Tomboy",43
"2",-0.01308524,"Not Tomboy",20
"4",-0.002002003,"Not Tomboy",45
"5",-0.033556784,"Tomboy",35
"6",0.001998003,"Tomboy",24
"7",0,"Tomboy",33
"8",-0.040821995,"Not Tomboy",21
"9",-0.077961541,"Tomboy",22
"10",-0.022245609,"Tomboy",22
"11",0.008959741,"Not Tomboy",19
"12",-0.037701867,"Tomboy",18
"13",-0.030459207,"Not Tomboy",40
"15",-0.066139803,"Not Tomboy",21
"16",-0.077961541,"Not Tomboy",24
"17",0.004987542,"Not Tomboy",66
"18",-0.040821995,"Tomboy",23
"19",-0.056570351,"Not Tomboy",22
"20",-0.060812139,"Tomboy",22
"21",0.001998003,"Not Tomboy",65
"22",-0.048140375,"Tomboy",38
"23",-0.041864204,"Tomboy",20
"24",-0.010050336,"Not Tomboy",22
"25",0.00796817,"Not Tomboy",21
"26",-0.036663984,"Not Tomboy",23
"27",-0.0010005,"Not Tomboy",33
"28",-0.042907501,"Not Tomboy",24
"29",-0.034591445,"Tomboy",25
"30",-0.054456186,"Tomboy",28
"31",0.009950331,"Tomboy",19
"32",-0.091019398,"Tomboy",22
"33",-0.102032726,"Tomboy",68
"34",0.053540767,"Not Tomboy",51
"35",-0.065071997,"Tomboy",63
"36",-0.026343975,"Tomboy",46
"37",-0.012072581,"Not Tomboy",22
"38",0.001998003,"Not Tomboy",25
"39",-0.032523192,"Not Tomboy",22
"40",-0.026343975,"Not Tomboy",67
"41",0.008959741,"Tomboy",49
"42",0.060153923,"Tomboy",20
"43",-0.002002003,"Not Tomboy",21
"44",0.019802627,"Not Tomboy",23
"45",0.043059489,"Not Tomboy",20
"46",0.067658648,"Not Tomboy",20
