"","SubjectID","Weight","Height","Leg.length","Age","Sex"
"1",4885,81.5,182.3,110,32,"Male"
"2",15016,88.8,182.6,110.8,30,"Male"
"3",25895,45.5,167.3,101.7,20,"Female"
"4",11885,85.4,180.3,115,19,"Male"
"5",19382,72.8,170.5,106.5,26,"Female"
"6",11841,75.7,177.7,110.2,21,"Female"
"7",13454,65.2,178.5,109.4,19,"Male"
"8",25913,61,159.3,98.5,19,"Female"
"9",13127,60.3,166.4,103.7,31,"Female"
"10",8035,64.8,162.8,101.4,29,"Female"
"11",25168,57,155.4,95.2,21,"Female"
"12",6334,101.6,176.5,111.1,26,"Male"
"13",25176,61.1,164.6,100.7,22,"Female"
"14",22474,55.1,162,97.5,24,"Female"
"15",3136,56.4,156.2,98.8,26,"Female"
"16",25198,54.6,158.4,100.4,33,"Female"
"17",21772,69.2,172.8,107.4,21,"Male"
"18",8389,48,163.7,101,33,"Female"
"19",20704,85.5,179.5,113.1,27,"Male"
"20",20802,66.2,169.9,104.6,30,"Female"
"21",22738,88.9,177,106,19,"Male"
"22",26125,66.4,171.8,107,29,"Female"
"23",11432,85.2,183.8,110.9,28,"Male"
"24",25217,68.4,167.4,104,20,"Female"
"25",18852,71.8,179.1,110.2,20,"Male"
"26",19246,58.4,154.3,97.7,36,"Female"
"27",13825,81.2,166.5,104,20,"Male"
"28",20461,66.7,172.6,105.9,26,"Female"
"29",23492,75,162.6,100,35,"Male"
"30",371,60.3,162.7,100.2,25,"Female"
"31",17290,84,183,112.6,20,"Male"
"32",9308,54.5,159.3,97.8,21,"Female"
"33",2188,73.7,174.7,108.9,25,"Female"
"34",19773,61.5,174.6,110.4,20,"Female"
"35",17890,69.6,164.1,107.8,33,"Female"
"36",20968,65.3,171.7,103.4,21,"Male"
"37",10181,54,162.3,103.1,23,"Female"
"38",446,62.5,160,99.7,36,"Female"
"39",25170,68.4,165.9,104.9,25,"Female"
"40",3390,63.9,171.5,104.6,19,"Male"
"41",17886,63.6,159.6,99.4,33,"Female"
"42",25936,55.4,166.7,102.2,19,"Male"
"43",8421,68.1,169.6,104.5,25,"Female"
"44",7352,63.7,158,95.6,28,"Male"
"45",21717,72.9,173.9,106.9,22,"Male"
"46",2785,93.5,186.8,116.9,38,"Male"
"47",8155,68.6,182.4,111.3,25,"Male"
"48",23460,77.4,171.8,104.9,27,"Male"
"49",23768,51.6,157,98.2,31,"Female"
"50",14258,68.2,181.1,111.4,35,"Male"
